"species","lon","lat"
"Rheohyla miotympanum",-100.527547,25.485591
"Rheohyla miotympanum",-98.498334,21.086111
"Rheohyla miotympanum",-97.093376,18.787417
"Rheohyla miotympanum",-96.925629,19.067716
"Rheohyla miotympanum",-97.260825,19.944667
"Rheohyla miotympanum",-95.015996,18.355411
"Rheohyla miotympanum",-97.205748,18.778606
"Rheohyla miotympanum",-97.104964,18.850869
"Rheohyla miotympanum",-97.927601,20.003445
"Rheohyla miotympanum",-97.011154,18.903628
"Rheohyla miotympanum",-99.039169,21.385572
"Rheohyla miotympanum",-100.250739,25.401039
"Rheohyla miotympanum",-97.990934,20.274594
"Rheohyla miotympanum",-97.718919,19.909557
"Rheohyla miotympanum",-99.470686,21.202847
"Rheohyla miotympanum",-97.951062,19.933161
"Rheohyla miotympanum",-97.650769,19.938803
"Rheohyla miotympanum",-96.756563,19.70308
"Rheohyla miotympanum",-96.772817,19.656515
"Rheohyla miotympanum",-96.734346,19.624271
"Rheohyla miotympanum",-99.42366,21.92636
"Rheohyla miotympanum",-99.812765,21.38723
"Rheohyla miotympanum",-98.340466,20.678005
"Rheohyla miotympanum",-96.889202,19.091598
"Rheohyla miotympanum",-98.832868,20.878983
"Rheohyla miotympanum",-99.766374,23.948018
"Rheohyla miotympanum",-99.689667,24.017489
"Rheohyla miotympanum",-98.563019,20.233786
"Rheohyla miotympanum",-100.255024,25.65323
"Rheohyla miotympanum",-99.9105,24.932205
"Rheohyla miotympanum",-99.707267,24.687595
"Rheohyla miotympanum",-98.713109,20.734567
"Rheohyla miotympanum",-99.71765,24.243274
"Rheohyla miotympanum",-100.126869,25.217395
"Rheohyla miotympanum",-99.726627,23.862495
"Rheohyla miotympanum",-99.659732,23.830555
"Rheohyla miotympanum",-99.367357,23.404453
"Rheohyla miotympanum",-97.995453,19.838861
"Rheohyla miotympanum",-100.349595,25.6994
"Rheohyla miotympanum",-96.783713,19.59021
"Rheohyla miotympanum",-98.59421,20.876496
"Rheohyla miotympanum",-97.387283,19.926927
"Rheohyla miotympanum",-98.486389,21.403672
"Rheohyla miotympanum",-97.935005,19.777438
"Rheohyla miotympanum",-100.239102,25.177667
"Rheohyla miotympanum",-99.215444,23.064374
"Rheohyla miotympanum",-98.762387,20.090988
"Rheohyla miotympanum",-99.91467,24.762855
"Rheohyla miotympanum",-99.333651,23.762755
"Rheohyla miotympanum",-98.823051,20.684606
"Rheohyla miotympanum",-100.362801,25.450481
"Rheohyla miotympanum",-99.319698,21.18416
"Rheohyla miotympanum",-99.400864,23.359434
"Rheohyla miotympanum",-98.72177,20.963664
"Rheohyla miotympanum",-98.784973,20.881217
"Rheohyla miotympanum",-98.795125,20.958998
"Rheohyla miotympanum",-98.70972,20.811823
"Rheohyla miotympanum",-98.629703,20.941762
"Rheohyla miotympanum",-97.224326,19.842168
"Rheohyla miotympanum",-97.853865,20.100654
"Rheohyla miotympanum",-97.176805,19.991757
"Rheohyla miotympanum",-97.008049,18.650051
"Rheohyla miotympanum",-98.603215,20.32457
"Rheohyla miotympanum",-99.917951,25.229989
"Rheohyla miotympanum",-98.726093,20.516163
"Rheohyla miotympanum",-97.230071,20.400691
"Rheohyla miotympanum",-99.456155,21.304002
"Rheohyla miotympanum",-98.704334,20.645353
"Rheohyla miotympanum",-99.544895,23.075801
"Rheohyla miotympanum",-93.000227,17.185274
"Rheohyla miotympanum",-96.579906,19.850357
"Rheohyla miotympanum",-99.446729,21.15152
"Rheohyla miotympanum",-99.69993,21.061178
"Rheohyla miotympanum",-98.377182,21.040567
"Rheohyla miotympanum",-96.851111,18.155278
"Rheohyla miotympanum",-96.844444,18.253056
"Rheohyla miotympanum",-97.031989,19.093669
"Rheohyla miotympanum",-98.246273,21.148609
"Rheohyla miotympanum",-97.044805,19.228528
"Rheohyla miotympanum",-100.303802,25.674949
"Rheohyla miotympanum",-97.241789,19.787919
"Rheohyla miotympanum",-93.305555,16.858083
"Rheohyla miotympanum",-93.330972,16.897556
"Rheohyla miotympanum",-97.074061,19.404472
"Rheohyla miotympanum",-97.034475,19.494456
"Rheohyla miotympanum",-96.906667,18.146111
"Rheohyla miotympanum",-97.852712,20.027756
"Rheohyla miotympanum",-98.667198,21.358444
"Rheohyla miotympanum",-98.515766,20.569376
"Rheohyla miotympanum",-99.234695,23.600487
"Rheohyla miotympanum",-96.92389,20.01111
"Rheohyla miotympanum",-98.65671,20.259754
"Rheohyla miotympanum",-98.891334,21.276695
"Rheohyla miotympanum",-96.86028,19.78611
"Rheohyla miotympanum",-98.84202,21.020178
"Rheohyla miotympanum",-99.508086,21.133171
"Rheohyla miotympanum",-99.61725,20.55275
"Rheohyla miotympanum",-96.51086,17.84939
"Rheohyla miotympanum",-97.892454,20.236952
"Rheohyla miotympanum",-99.515603,23.353406
"Rheohyla miotympanum",-98.755219,21.221251
"Rheohyla miotympanum",-99.493663,21.049279
"Rheohyla miotympanum",-99.020472,21.225
"Rheohyla miotympanum",-96.915972,18.486194
"Rheohyla miotympanum",-95.062522,18.363445
"Rheohyla miotympanum",-97.478805,19.896639
"Rheohyla miotympanum",-97.402889,20.0105
"Rheohyla miotympanum",-97.492,19.85
"Rheohyla miotympanum",-96.866083,17.732278
"Rheohyla miotympanum",-99.867567,24.602685
"Rheohyla miotympanum",-96.911417,17.937889
"Rheohyla miotympanum",-100.062103,25.401414
"Rheohyla miotympanum",-99.220421,22.8225
"Rheohyla miotympanum",-97.610111,20.0895
"Rheohyla miotympanum",-96.892361,17.887389
