"species","lon","lat","bio_1","bio_10","bio_11","bio_12","bio_13","bio_14","bio_15","bio_16","bio_17","bio_2","bio_3","bio_4","bio_5","bio_6","bio_7","pc_1","pc_2","pc_3","pc_4","pc_5"
"Tlalocohyla smithii",-98.08,16.36,2993,3003,2987,13181,3037,55,1054,7853,202,80,681,660,3054,2937,117,2.62246799468994,-2.26696801185608,0.827284812927246,0.356161713600159,-0.507061421871185
"Tlalocohyla smithii",-102.994164,21.023889,2917,2949,2883,9184,2515,37,1152,6336,177,130,576,2495,3029,2804,225,-0.0267504192888737,-2.12391901016235,1.71100997924805,0.899238526821136,1.1347359418869
"Tlalocohyla smithii",-97.875,17.108333,2944,2957,2929,18624,3906,162,948,10409,548,120,681,1039,3030,2854,176,1.85017204284668,-1.19279301166534,1.72753298282623,1.43633794784546,0.972408890724182
"Tlalocohyla smithii",-97.091667,16.091667,2963,2972,2952,14164,2850,49,944,7737,242,87,689,759,3025,2899,126,1.98921501636505,-1.65656495094299,1.37967896461487,0.131647303700447,-0.300154209136963
"Tlalocohyla smithii",-97.075,16.025,2964,2973,2955,14590,3005,49,962,8152,231,75,675,727,3019,2908,111,2.23225402832031,-1.49610102176666,1.47255599498749,0.113234803080559,-0.762982487678528
"Tlalocohyla smithii",-97.925,17.025,2970,2984,2957,18596,3776,117,1004,10765,395,119,666,1032,3059,2881,178,2.23961710929871,-1.80073595046997,1.145015001297,1.67978596687317,0.899290025234222
"Tlalocohyla smithii",-104.8225,22.00889,2969,2997,2934,12288,3352,21,1177,8895,137,121,580,2512,3072,2863,209,1.38010394573212,-2.57356309890747,0.853378176689148,1.75483500957489,0.790497720241547
"Tlalocohyla smithii",-105.27,21.02333,2985,3009,2956,10775,2732,11,1173,7858,105,71,563,2216,3037,2911,126,2.01385998725891,-2.25181698799133,0.901776492595673,0.501641094684601,-1.08297502994537
"Tlalocohyla smithii",-104.72694,21.20861,2925,2946,2896,12160,3337,25,1174,8528,158,125,623,2026,3030,2829,201,0.781678080558777,-1.9289139509201,2.0523669719696,1.35866498947144,0.991346776485443
"Tlalocohyla smithii",-105.16583,20.84889,2981,3005,2952,12705,3140,20,1154,9055,154,81,592,2204,3041,2904,137,2.13658308982849,-2.12669992446899,1.02983605861664,0.937278389930725,-0.684666574001312
"Tlalocohyla smithii",-104.07,19.4,2957,2974,2936,11691,2742,37,1036,7592,256,115,630,1434,3051,2869,182,1.24728798866272,-2.21119403839111,1.11131799221039,0.766157329082489,0.672471106052399
"Tlalocohyla smithii",-103.4,18.81,2971,2985,2954,11597,2600,19,1059,7596,189,118,670,1203,3063,2887,176,1.50566804409027,-2.5738959312439,0.925708174705505,0.732520401477814,0.838619470596313
"Tlalocohyla smithii",-103.07,19.87,2917,2941,2891,9787,2228,64,1011,6144,248,124,612,1878,3023,2821,202,0.148896604776382,-1.83747005462646,1.65979397296906,0.365441590547562,0.974938571453094
"Tlalocohyla smithii",-100.315008,17.254172,2965,2977,2949,17518,4067,38,1059,10821,225,78,627,1081,3024,2900,124,2.61311793327332,-1.32638597488403,1.71271705627441,1.22394299507141,-0.759207487106323
"Tlalocohyla smithii",-98.11,16.64,2975,2992,2966,17748,3750,60,1056,10566,243,119,655,1089,3070,2888,182,2.26021003723145,-2.14857697486877,1.01225399971008,1.78366494178772,0.845747709274292
"Tlalocohyla smithii",-103.58,18.83,2983,2996,2967,9820,2249,12,1084,6526,141,101,684,1166,3054,2907,147,1.70756995677948,-2.69829106330872,0.833374679088593,0.150646403431892,0.23816029727459
"Tlalocohyla smithii",-103.71,19.05,2988,3003,2971,8174,1846,10,1090,5531,123,115,671,1240,3077,2906,171,1.37151598930359,-3.18574690818787,0.389104187488556,0.159910604357719,0.770131826400757
"Tlalocohyla smithii",-103.92,19.32,2973,2988,2953,7654,1765,25,1015,4919,181,116,646,1366,3067,2888,179,0.958367228507996,-2.87015891075134,0.4922975897789,-0.0231673698872328,0.767865002155304
"Tlalocohyla smithii",-105.18,19.65,2985,3005,2963,8396,2324,13,1102,5748,74,67,601,1731,3033,2922,111,1.86789000034332,-2.35781002044678,0.804401874542236,-0.263651907444,-1.16122603416443
"Tlalocohyla smithii",-103.17,18.9,2919,2936,2902,16428,3665,45,1021,10233,334,119,652,1274,3020,2838,182,1.28611695766449,-1.25457799434662,2.22312498092651,1.391037940979,0.799269020557404
"Tlalocohyla smithii",-104.01,19.41,2946,2963,2925,9981,2317,40,1013,6358,251,116,630,1450,3041,2857,184,0.8078733086586,-2.17339992523193,1.21967196464539,0.338527202606201,0.716987609863281
"Tlalocohyla smithii",-95.77,15.93,3006,3014,2996,9203,1992,35,1024,5415,143,46,670,733,3035,2967,68,2.63297891616821,-2.31388688087463,0.553732573986053,-0.977328479290009,-1.77186894416809
"Tlalocohyla smithii",-96.79,16.52,2942,2959,2924,6393,1329,17,910,3480,113,131,677,1348,3039,2845,194,0.0506652407348156,-2.57381200790405,0.987186789512634,-0.517805397510529,1.29202604293823
"Tlalocohyla smithii",-102.31,18.57,2948,2966,2930,11160,2450,32,1012,7034,229,116,627,1355,3049,2864,185,0.995516121387482,-2.18724894523621,1.14641904830933,0.55233770608902,0.707328677177429
