"species","lon","lat"
"Scinax ruber",-71.93833,-1.01972
"Scinax ruber",-55.15,5.58333
"Scinax ruber",-56.97297,5.92606
"Scinax ruber",-78.316667,-5.1
"Scinax ruber",-54.06904,5.5079
"Scinax ruber",-54.02197,5.48371
"Scinax ruber",-73.27385,-3.76507
"Scinax ruber",-73.64165,4.13896
"Scinax ruber",-73.83802,-5.03641
"Scinax ruber",-74.150702,11.287375
"Scinax ruber",-65.75,-15.28333
"Scinax ruber",-44.56667,-22.5
"Scinax ruber",-79.7,9.116667
"Scinax ruber",-36.72,-7
"Scinax ruber",-56.13333,2.03333
"Scinax ruber",-55.15856,5.82388
"Scinax ruber",-56.68053,5.75205
"Scinax ruber",-79.15,-0.25
"Scinax ruber",-63.03,-5.77
"Scinax ruber",-61.37,-3.9
"Scinax ruber",-74.67207,4.17848
"Scinax ruber",-55.09,5.44
"Scinax ruber",-75.435,9.31667
"Scinax ruber",-70.133333,-4.033333
"Scinax ruber",-78.1667,-2.4667
"Scinax ruber",-78.3167,-2.6833
"Scinax ruber",-78.2125,-2.4861
"Scinax ruber",-52.31345,4.92242
"Scinax ruber",-69.95,-4.116667
"Scinax ruber",-77.98333,-1.46667
"Scinax ruber",-63.13,-9.72
"Scinax ruber",-63,-7.4
"Scinax ruber",-62.88,-7.07
"Scinax ruber",-62.8833,-8.05
"Scinax ruber",-77.4,-6.3333
"Scinax ruber",-69.833333,-12.883333
"Scinax ruber",-71.416667,-13.166667
"Scinax ruber",-67.08,-7.78
"Scinax ruber",-66.97,-7.67
"Scinax ruber",-67.4,-8.75
"Scinax ruber",-76.966667,0.05
"Scinax ruber",-57.1525,-2.52194
"Scinax ruber",-71.1667,-12.9833
"Scinax ruber",-75.97209,8.63136
"Scinax ruber",-66.01667,-2.53333
"Scinax ruber",-65.03333,-0.4
"Scinax ruber",-77.866667,-1.266667
"Scinax ruber",-69.94845,-4.17693
"Scinax ruber",-46.732922,-23.5632
"Scinax ruber",-60.543,11.2809
"Scinax ruber",-74.91233,4.15089
"Scinax ruber",-76.19412,3.74296
"Scinax ruber",-70.02817,-3.65829
"Scinax ruber",-59.79138,-3.11333
"Scinax ruber",-74.8497,-10.3697
"Scinax ruber",-61.3728,10.6333
"Scinax ruber",-60.6335,11.3001
"Scinax ruber",-61.4166,10.65
"Scinax ruber",-34.906389,-7.834444
"Scinax ruber",-76.93056,0.28056
"Scinax ruber",-57.336506,5.313222
"Scinax ruber",-52.269161,4.913853
"Scinax ruber",-73.432685,-3.956097
"Scinax ruber",-70.910064,-12.263586
"Scinax ruber",-52.722662,5.225779
"Scinax ruber",-55.021049,5.883531
"Scinax ruber",-63.135067,-7.198667
"Scinax ruber",-62.199128,-5.612025
"Scinax ruber",-73.144689,-3.411123
"Scinax ruber",-72.278866,5.353358
"Scinax ruber",-73.558625,4.335678
"Scinax ruber",-61.486991,10.235614
"Scinax ruber",-52.346626,4.797134
"Scinax ruber",-59.940037,-3.00708
"Scinax ruber",-66.085115,-11.027591
"Scinax ruber",-71.698406,5.449155
"Scinax ruber",-69.324576,-12.818116
"Scinax ruber",-59.055098,4.126699
"Scinax ruber",-72.944778,-1.103944
"Scinax ruber",-64.862716,-14.873159
"Scinax ruber",-61.262556,10.745885
"Scinax ruber",-76.45913,-0.472253
"Scinax ruber",-52.453085,4.946112
"Scinax ruber",-55.417704,4.636872
"Scinax ruber",-61.218937,10.541897
"Scinax ruber",-77.873603,8.386788
"Scinax ruber",-55.051642,5.529317
"Scinax ruber",-64.716062,-3.35911
"Scinax ruber",-76.899554,0.084676
"Scinax ruber",-77.822044,-1.850244
"Scinax ruber",-61.686845,10.107342
"Scinax ruber",-61.589426,10.154794
"Scinax ruber",-61.373521,10.429669
"Scinax ruber",-61.440717,10.176883
"Scinax ruber",-77.792699,-0.720312
"Scinax ruber",-61.890762,10.080395
"Scinax ruber",-78.081445,-1.49286
"Scinax ruber",-58.100021,6.796063
"Scinax ruber",-74.659906,-8.345584
